月度,城市名称,平均相对湿度(%),平均温度（摄氏度）,降水量（毫米）,日照时数（小时）
1996-01-01,北京市,32.0,-2.2,0.2,206.6
1996-02-01,北京市,22.0,-0.4,0.0,241.4
1996-03-01,北京市,35.0,6.2,11.0,229.7
1996-04-01,北京市,38.0,14.3,6.2,263.3
1996-05-01,北京市,45.0,21.6,1.8,297.5
1996-06-01,北京市,56.0,25.4,55.1,214.2
1996-07-01,北京市,76.0,25.5,307.4,147.2
1996-08-01,北京市,81.0,23.9,250.0,118.3
1996-09-01,北京市,72.0,20.7,32.9,188.4
1996-10-01,北京市,66.0,12.8,30.8,171.9
1996-11-01,北京市,48.0,4.2,2.6,166.3
1996-12-01,北京市,44.0,0.9,2.9,173.9
1997-01-01,北京市,49.0,-3.8,4.9,178.8
1997-02-01,北京市,41.0,1.3,0.0,183.2
1997-03-01,北京市,47.0,8.7,10.6,211.3
1997-04-01,北京市,50.0,14.5,17.4,265.4
1997-05-01,北京市,55.0,20.0,41.5,257.9
1997-06-01,北京市,57.0,24.6,35.5,267.5
1997-07-01,北京市,69.0,28.2,139.8,227.0
1997-08-01,北京市,74.0,26.6,83.2,235.4
1997-09-01,北京市,68.0,18.6,44.1,231.6
1997-10-01,北京市,47.0,14.0,43.0,279.0
1997-11-01,北京市,66.0,5.4,2.1,120.9
1997-12-01,北京市,56.0,-1.5,8.8,138.5
1998-01-01,北京市,43.0,-3.9,1.3,174.4
1998-02-01,北京市,45.0,2.4,26.3,194.3
1998-03-01,北京市,51.0,7.6,4.3,207.8
1998-04-01,北京市,68.0,15.0,54.7,175.8
1998-05-01,北京市,61.0,19.9,61.5,272.7
1998-06-01,北京市,71.0,23.6,142.9,196.1
1998-07-01,北京市,79.0,26.5,247.9,193.0
1998-08-01,北京市,75.0,25.1,114.4,246.4
1998-09-01,北京市,72.0,22.2,4.7,204.7
1998-10-01,北京市,65.0,14.8,61.8,183.7
1998-11-01,北京市,64.0,4.0,11.3,172.0
1998-12-01,北京市,51.0,0.1,0.6,199.8
1999-01-01,北京市,38.0,-1.6,0.0,217.0
1999-02-01,北京市,33.0,2.1,0.0,225.0
1999-03-01,北京市,57.0,4.7,5.2,160.0
